Plot 3 2021-06-28T151158668.fcf

,,,,El1.Average,El2.Average,El3.Average
Emissivity,,,,0.30000001192092896,0.30000001192092896,0.30000001192092896
Distance,,,,0.30000001192092896,0.30000001192092896,0.30000001192092896
Reflected temperature,,,,22.9999942779541,22.9999942779541,22.9999942779541
Location X,,,,148,250,351
Location Y,,,,242,244,245
Size X,,,,19,17,17
Size Y,,,,14,14,12
Surface (pixels),,,,199,175,151

Date,Time,Milliseconds,Relative time,El1.Average,El2.Average,El3.Average
28/06/2021,15:12:31,720,33.28,163.325131593637,160.076506260463,160.154982509992
28/06/2021,15:12:31,880,33.44,163.260720794524,160.000075334821,160.132570178303
28/06/2021,15:12:32,040,33.6,163.202029817667,159.928803536551,160.071368792199
28/06/2021,15:12:32,200,33.76,162.975432736191,159.717463989258,159.85580767701
28/06/2021,15:12:32,360,33.92,162.93347965413,159.727952183315,159.848650597579
28/06/2021,15:12:32,520,34.08,162.969442242953,159.718632376535,159.776001784975
28/06/2021,15:12:32,680,34.24,162.880503438825,159.672210780552,159.797008691245
28/06/2021,15:12:32,840,34.4,162.893791313746,159.67254246303,159.756110286081
28/06/2021,15:12:33,000,34.56,163.050327473549,159.693804757254,159.875671891977
28/06/2021,15:12:33,160,34.72,162.923206655224,159.611284702846,159.819584019137
28/06/2021,15:12:33,320,34.88,163.064758530813,159.661852678571,159.849447086157
28/06/2021,15:12:33,480,35.04,163.059808088906,159.751610456194,159.881077141162
28/06/2021,15:12:33,640,35.2,162.989933569827,159.682343837193,159.86738283271
28/06/2021,15:12:33,800,35.36,163.047534118346,159.706336408343,159.706298322867
28/06/2021,15:12:33,960,35.52,163.056311755923,159.676974051339,159.926703143594
28/06/2021,15:12:34,120,35.68,163.082975684698,159.775864170619,159.977977020062
28/06/2021,15:12:34,280,35.84,163.005666991574,159.678934500558,159.818914552398
28/06/2021,15:12:34,440,36,163.044826028335,159.826116333008,159.830055994703
28/06/2021,15:12:34,600,36.16,163.003447642877,159.646358380999,159.819760455201
28/06/2021,15:12:34,760,36.32,162.959389461345,159.623263113839,159.734055373842
28/06/2021,15:12:34,920,36.48,162.891737894796,159.579787946429,159.821083725683
28/06/2021,15:12:35,080,36.64,163.004424742119,159.629489658901,159.676156353477
28/06/2021,15:12:35,240,36.8,163.066271911314,159.750706438337,159.766119142242
28/06/2021,15:12:35,400,36.96,163.085489704381,159.635082397461,159.925915446502
28/06/2021,15:12:35,560,37.12,163.157224952276,159.60070425851,159.755920410156
28/06/2021,15:12:35,720,37.28,163.099514755172,159.684179600307,159.847594002225
28/06/2021,15:12:35,880,37.44,163.184641929128,159.678063528878,159.940706973044
28/06/2021,15:12:36,040,37.6,163.166105260801,159.620584106445,159.938909265379
28/06/2021,15:12:36,200,37.76,163.041414117094,159.6486328125,159.861376124502
28/06/2021,15:12:36,360,37.92,163.060751603476,159.668888375419,159.835150712373
28/06/2021,15:12:36,520,38.08,163.110941134506,159.616954520089,159.77212453678
28/06/2021,15:12:36,680,38.24,163.149370049711,159.726028006417,159.865310365791
28/06/2021,15:12:36,840,38.4,163.073674187588,159.555042724609,159.84458933445
28/06/2021,15:12:37,000,38.56,163.111225300698,159.653720354353,159.8717958564
28/06/2021,15:12:37,160,38.72,163.018297358374,159.67026070731,159.782943927689
28/06/2021,15:12:37,320,38.88,163.086316439375,159.749396623884,159.966962498545
28/06/2021,15:12:37,480,39.04,163.112576661997,159.615205078125,159.834149796442
28/06/2021,15:12:37,640,39.2,163.208940208857,159.743695242746,159.873380648379
28/06/2021,15:12:37,800,39.36,163.105455561499,159.689579467773,159.764072948734
28/06/2021,15:12:37,960,39.52,163.128617329813,159.62346836635,159.817308337483
28/06/2021,15:12:38,120,39.68,163.171691741177,159.674526018415,159.870471070144
28/06/2021,15:12:38,280,39.84,163.057041417414,159.62268511091,159.812586702258
28/06/2021,15:12:38,440,40,163.087349589746,159.594311261858,159.902809395695
